"","usertype","day_of_week","row_count","avg_trip_duration","max_trip_duration","min_trip_duration","mode_day_of_week","mode_bike_type"
"1","casual","Sunday",435354,27.3410103808242,1439.36666666667,1,"Sunday","classic_bike"
"2","casual","Monday",311433,24.3398647007007,1435.91666666667,1,"Monday","classic_bike"
"3","casual","Tuesday",293176,21.5448661100045,1437.9,1,"Tuesday","classic_bike"
"4","casual","Wednesday",297132,20.4967024756674,1437.58333333333,1,"Wednesday","classic_bike"
"5","casual","Thursday",336534,21.1877438832332,1436.91666666667,1,"Thursday","classic_bike"
"6","casual","Friday",369258,22.6490644301094,1438.81666666667,1,"Friday","classic_bike"
"7","casual","Saturday",533790,26.7566331953265,1437.7,1,"Saturday","classic_bike"
"8","member","Sunday",456901,14.0446655475329,1423.78333333333,1,"Sunday","classic_bike"
"9","member","Monday",583343,12.0938801585574,1432.06666666667,1,"Monday","classic_bike"
"10","member","Tuesday",640420,11.9503056067372,1436.33333333333,1,"Tuesday","classic_bike"
"11","member","Wednesday",640950,11.9264208336584,1418.93333333333,1,"Wednesday","classic_bike"
"12","member","Thursday",648775,12.090400549754,1434.75,1,"Thursday","classic_bike"
"13","member","Friday",566837,12.3339357110892,1435.46666666667,1,"Friday","classic_bike"
"14","member","Saturday",518975,14.1793289336352,1417.05,1,"Saturday","classic_bike"
