"","year","mnth","qtr","usertype","row_count","avg_trip_duration","mode_day_of_week","mode_bike_type"
"1",2022,"April","Q2","casual",90806,25.9902042082388,"Saturday","classic_bike"
"2",2022,"April","Q2","member",177719,11.7619993735429,"Tuesday","classic_bike"
"3",2022,"August","Q3","casual",265742,23.6071336735129,"Saturday","classic_bike"
"4",2022,"August","Q3","member",328576,13.3583299855538,"Tuesday","classic_bike"
"5",2022,"December","Q4","casual",30978,15.0380253728452,"Thursday","electric_bike"
"6",2022,"December","Q4","member",101634,10.4189003351897,"Thursday","classic_bike"
"7",2022,"February","Q1","casual",14960,21.580632798574,"Sunday","classic_bike"
"8",2022,"February","Q1","member",72682,10.8149110738101,"Monday","classic_bike"
"9",2022,"January","Q1","casual",12464,18.2522424582798,"Saturday","classic_bike"
"10",2022,"January","Q1","member",66575,10.4101006383778,"Thursday","classic_bike"
"11",2022,"July","Q3","casual",306594,25.2508417755512,"Saturday","classic_bike"
"12",2022,"July","Q3","member",324304,13.7597851604256,"Saturday","classic_bike"
"13",2022,"June","Q2","casual",287543,25.3365315796246,"Sunday","classic_bike"
"14",2022,"June","Q2","member",322256,13.9318844852126,"Thursday","classic_bike"
"15",2022,"March","Q1","casual",66378,26.6862542308194,"Sunday","classic_bike"
"16",2022,"March","Q1","member",146494,11.947954978816,"Wednesday","classic_bike"
"17",2022,"May","Q2","casual",216924,27.9848178778435,"Sunday","classic_bike"
"18",2022,"May","Q2","member",277159,13.5242488367087,"Monday","classic_bike"
"19",2022,"November","Q4","casual",72361,17.4185567271504,"Thursday","electric_bike"
"20",2022,"November","Q4","member",178763,11.0049064030774,"Wednesday","classic_bike"
"21",2022,"October","Q4","casual",148861,20.7140873029202,"Saturday","electric_bike"
"22",2022,"October","Q4","member",257458,11.9036167711497,"Monday","classic_bike"
"23",2022,"September","Q3","casual",217480,22.1072207406045,"Saturday","classic_bike"
"24",2022,"September","Q3","member",307842,12.865414400894,"Thursday","classic_bike"
"25",2023,"April","Q2","casual",108153,22.9672374629768,"Saturday","electric_bike"
"26",2023,"April","Q2","member",206758,11.9288507981956,"Thursday","classic_bike"
"27",2023,"February","Q1","casual",32141,17.9675487176296,"Sunday","classic_bike"
"28",2023,"February","Q1","member",113710,10.6676715621611,"Tuesday","classic_bike"
"29",2023,"January","Q1","casual",29020,15.1288278198943,"Tuesday","classic_bike"
"30",2023,"January","Q1","member",115441,10.2213853830095,"Tuesday","classic_bike"
"31",2023,"July","Q3","casual",240949,25.5706442027151,"Saturday","classic_bike"
"32",2023,"July","Q3","member",321967,13.6102606788895,"Monday","classic_bike"
"33",2023,"June","Q2","casual",215923,24.3046427044209,"Saturday","classic_bike"
"34",2023,"June","Q2","member",308794,13.1903347647083,"Thursday","classic_bike"
"35",2023,"March","Q1","casual",45737,17.03027599828,"Wednesday","electric_bike"
"36",2023,"March","Q1","member",148809,10.4700658786319,"Wednesday","classic_bike"
"37",2023,"May","Q2","casual",173663,24.8007222801249,"Sunday","classic_bike"
"38",2023,"May","Q2","member",279260,12.9989690014085,"Tuesday","classic_bike"
