job_title,job_url,company,company_location,salary,time_commitment,job_description,post_date,today
Data Analyst,https://ng.indeed.com/rc/clk?jk=19483f049f2891e2&fccid=39e6ec82667463ad&vjs=3,IpNX Nigeria Limited,Lagos,,,"Design and develop data models and data schemas to support efficient data analysis and reporting processes.
Participate in data governance initiatives, ensuring…
",Posted 2 days ago,2023-12-02
Data Analyst,https://ng.indeed.com/rc/clk?jk=e77d0329723235d4&fccid=8384cf51278c2a2a&vjs=3,High Caliber Nigeria Limited,Lagos,,,"Developing and maintaining databases, and data systems, reorganizing data in a readable format.
Using automated tools to extract data from primary and secondary…
",Posted 1 day ago,2023-12-02
Data Analyst,https://ng.indeed.com/rc/clk?jk=ce7fccf017f51309&fccid=3e9359119b425c78&vjs=3,Jumia,Lagos,,,"Providing technical expertise in data storage structures, data mining, and data cleansing.
Provide quality assurance of imported data, working with quality…
",Posted 10 days ago,2023-12-02
Data Analyst,https://ng.indeed.com/rc/clk?jk=8f32034d40001905&fccid=c2cdbe1e2346fbb1&vjs=3,HRBP Limited,Lagos,,,"This position is responsible for extracting data from multiple sources, manipulating and validating data, and conducting root cause analysis.
",Posted 18 days ago,2023-12-02
Data Analyst Instructor,https://ng.indeed.com/rc/clk?jk=d92c41b5b5149378&fccid=eb73d67514554c5a&vjs=3,Tech365,Lagos,,,"Previous experience in data analysis, teaching, or training roles is preferred.
Stay Updated: Keep abreast of industry trends, tools, and technologies in data…
",Posted 1 day ago,2023-12-02
Data Analyst,https://ng.indeed.com/rc/clk?jk=48d56561de49cf5c&fccid=29476644f3200de9&vjs=3,Mopheth Group,Lagos,,,"Work closely with cross-functional teams, including accounting and finance, to understand data requirements and contribute to data-driven decision-making…
",Posted 9 days ago,2023-12-02
Operations Data Analyst (Cement),https://ng.indeed.com/rc/clk?jk=8a9f0ba6281cc701&fccid=8350aecd95d957af&vjs=3,Dangote Industries Limited,Lagos,,,"Collect, analyze, and interpret operational data to identify trends and performance indicators Develop and maintain reporting systems to track key metrics and…
",Posted 17 days ago,2023-12-02
"Analyst, Customer Experience",https://ng.indeed.com/rc/clk?jk=f2363b35bb820604&fccid=5249cd8e17163cb5&vjs=3,Standard Chartered,Lagos,,,"Ensuring timely data entry on updates of actions taken to resolve the complaint in CEMS.
Ensure adherence to the Group Retail Banking Complaints Handling…
",Posted 11 days ago,2023-12-02
Data Analyst,https://ng.indeed.com/rc/clk?jk=386c3d2a2fb3a730&fccid=7d2e760617fdc83c&vjs=3,Leaders Network,Lagos,,,"Data Mining: Experience with data mining and data extraction from various sources.
Data Governance: Ensure data is handled in compliance with relevant data…
",Posted 29 days ago,2023-12-02
Data Analyst,https://ng.indeed.com/rc/clk?jk=a9397844c8f1fb50&fccid=c1d86172f11e7762&vjs=3,RS Hunter Ltd,Yaba,,,"Technical expertise regarding data models, database design development, data mining and segmentation techniques.
Proven working experience in data analysis.
",Posted 30+ days ago,2023-12-02
